NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,ABS_NES,NOM p-val,FDR,FWER p-val
KEGG_SMALL_CELL_LUNG_CANCER,KEGG_SMALL_CELL_LUNG_CANCER,Details ...,67,0.4177096,1.4309802,1.4309802,0.027027028,0.2759643,0.995
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,Details ...,58,0.41787964,1.4126301,1.4126301,0.03347732,0.30386892,0.997
KEGG_BLADDER_CANCER,KEGG_BLADDER_CANCER,Details ...,34,0.45092198,1.3997421,1.3997421,0.04894327,0.31697652,0.999
KEGG_AXON_GUIDANCE,KEGG_AXON_GUIDANCE,Details ...,91,0.39212105,1.3927182,1.3927182,0.021784233,0.31658915,0.999
KEGG_BASAL_CELL_CARCINOMA,KEGG_BASAL_CELL_CARCINOMA,Details ...,34,0.445982,1.3917738,1.3917738,0.058020476,0.30152255,0.999
KEGG_PROSTATE_CANCER,KEGG_PROSTATE_CANCER,Details ...,69,0.39926282,1.3896827,1.3896827,0.041009463,0.29103163,0.999
KEGG_GLIOMA,KEGG_GLIOMA,Details ...,49,0.41781604,1.3760546,1.3760546,0.05353319,0.30921048,1
KEGG_CHRONIC_MYELOID_LEUKEMIA,KEGG_CHRONIC_MYELOID_LEUKEMIA,,63,0.3999405,1.3598102,1.3598102,0.047169812,0.33644667,1
KEGG_DILATED_CARDIOMYOPATHY,KEGG_DILATED_CARDIOMYOPATHY,,38,0.42358032,1.3534124,1.3534124,0.08017817,0.3370738,1
KEGG_INSULIN_SIGNALING_PATHWAY,KEGG_INSULIN_SIGNALING_PATHWAY,,103,0.37174278,1.3446155,1.3446155,0.034979425,0.34543467,1
KEGG_MELANOMA,KEGG_MELANOMA,,39,0.42175603,1.3421358,1.3421358,0.06297503,0.33771488,1
KEGG_JAK_STAT_SIGNALING_PATHWAY,KEGG_JAK_STAT_SIGNALING_PATHWAY,,74,0.38229126,1.3332648,1.3332648,0.05561385,0.34718856,1
KEGG_LYSINE_DEGRADATION,KEGG_LYSINE_DEGRADATION,,41,0.41396266,1.3287623,1.3287623,0.0845225,0.3463209,1
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,,142,0.35696182,1.3204792,1.3204792,0.02926337,0.35510254,1
KEGG_HEDGEHOG_SIGNALING_PATHWAY,KEGG_HEDGEHOG_SIGNALING_PATHWAY,,27,0.44188893,1.3102502,1.3102502,0.11860465,0.36991376,1
KEGG_CALCIUM_SIGNALING_PATHWAY,KEGG_CALCIUM_SIGNALING_PATHWAY,,69,0.38038412,1.2911896,1.2911896,0.07660021,0.41027042,1
KEGG_PATHWAYS_IN_CANCER,KEGG_PATHWAYS_IN_CANCER,,228,0.33995077,1.283077,1.283077,0.02,0.4192776,1
KEGG_GNRH_SIGNALING_PATHWAY,KEGG_GNRH_SIGNALING_PATHWAY,,66,0.36727244,1.264266,1.264266,0.1015873,0.46130207,1
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,,48,0.38701463,1.2626384,1.2626384,0.12595005,0.45176178,1
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,,68,0.36499608,1.2582769,1.2582769,0.1144958,0.45157608,1
KEGG_ERBB_SIGNALING_PATHWAY,KEGG_ERBB_SIGNALING_PATHWAY,,69,0.36040673,1.2504655,1.2504655,0.12564902,0.46263283,1
KEGG_MELANOGENESIS,KEGG_MELANOGENESIS,,64,0.3596832,1.2407123,1.2407123,0.14118896,0.47922003,1
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG_CHEMOKINE_SIGNALING_PATHWAY,,87,0.34854084,1.2309853,1.2309853,0.12111801,0.49469566,1
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,,35,0.39333558,1.2234004,1.2234004,0.1875,0.50428003,1
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,,102,0.33962938,1.2182832,1.2182832,0.12913223,0.50643617,1
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,,71,0.3500952,1.2126472,1.2126472,0.16298632,0.5107741,1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE,,15,0.46005714,1.2110516,1.2110516,0.23703703,0.50293046,1
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,,64,0.35708627,1.2071747,1.2071747,0.17456897,0.5018979,1
KEGG_WNT_SIGNALING_PATHWAY,KEGG_WNT_SIGNALING_PATHWAY,,109,0.33018425,1.1906552,1.1906552,0.15541922,0.5381853,1
KEGG_GLYCEROLIPID_METABOLISM,KEGG_GLYCEROLIPID_METABOLISM,,36,0.37450042,1.1817064,1.1817064,0.23995535,0.5531134,1
KEGG_LONG_TERM_POTENTIATION,KEGG_LONG_TERM_POTENTIATION,,45,0.36384404,1.1816514,1.1816514,0.2327113,0.5407372,1
KEGG_MTOR_SIGNALING_PATHWAY,KEGG_MTOR_SIGNALING_PATHWAY,,42,0.36149317,1.1691316,1.1691316,0.23710209,0.56649405,1
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,,54,0.34954205,1.1660993,1.1660993,0.23966065,0.5634604,1
KEGG_GAP_JUNCTION,KEGG_GAP_JUNCTION,,54,0.34065697,1.1367034,1.1367034,0.27508092,0.639193,1
KEGG_TGF_BETA_SIGNALING_PATHWAY,KEGG_TGF_BETA_SIGNALING_PATHWAY,,54,0.33900368,1.1307287,1.1307287,0.25792348,0.64489055,1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,,19,0.4036575,1.1177667,1.1177667,0.31459332,0.6725681,1
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,,70,0.32264528,1.1149719,1.1149719,0.28914404,0.66730237,1
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,,50,0.33592686,1.1076963,1.1076963,0.3340448,0.67628485,1
KEGG_HOMOLOGOUS_RECOMBINATION,KEGG_HOMOLOGOUS_RECOMBINATION,,26,0.37284106,1.10521,1.10521,0.33107343,0.67091924,1
KEGG_CELL_CYCLE,KEGG_CELL_CYCLE,,115,0.29683584,1.0812818,1.0812818,0.32454363,0.7303245,1
KEGG_OLFACTORY_TRANSDUCTION,KEGG_OLFACTORY_TRANSDUCTION,,18,0.39560643,1.0784706,1.0784706,0.38256657,0.7258182,1
KEGG_STEROID_BIOSYNTHESIS,KEGG_STEROID_BIOSYNTHESIS,,16,0.4018657,1.0758821,1.0758821,0.3826406,0.7207102,1
KEGG_PANCREATIC_CANCER,KEGG_PANCREATIC_CANCER,,59,0.31149018,1.0725107,1.0725107,0.36797455,0.718207,1
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,,126,0.29242843,1.0722473,1.0722473,0.34111676,0.70632297,1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,,44,0.3316969,1.0584598,1.0584598,0.38865095,0.73483205,1
KEGG_VIRAL_MYOCARDITIS,KEGG_VIRAL_MYOCARDITIS,,37,0.33681682,1.057424,1.057424,0.4013378,0.7255075,1
KEGG_STARCH_AND_SUCROSE_METABOLISM,KEGG_STARCH_AND_SUCROSE_METABOLISM,,20,0.37033787,1.0511018,1.0511018,0.40167865,0.73185754,1
KEGG_RENAL_CELL_CARCINOMA,KEGG_RENAL_CELL_CARCINOMA,,58,0.3074775,1.0448487,1.0448487,0.4187035,0.737898,1
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,,38,0.32203612,1.0191858,1.0191858,0.47216037,0.8001227,1
KEGG_THYROID_CANCER,KEGG_THYROID_CANCER,,24,0.35095525,1.0163351,1.0163351,0.46235293,0.795172,1
KEGG_MAPK_SIGNALING_PATHWAY,KEGG_MAPK_SIGNALING_PATHWAY,,171,0.27042857,1.0141008,1.0141008,0.47129908,0.78928864,1
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,,41,0.31081986,1.0045531,1.0045531,0.48320693,0.80186087,1
KEGG_OOCYTE_MEIOSIS,KEGG_OOCYTE_MEIOSIS,,86,0.2835544,1.0025724,1.0025724,0.49537513,0.7949141,1
KEGG_GALACTOSE_METABOLISM,KEGG_GALACTOSE_METABOLISM,,20,0.35607237,1.001137,1.001137,0.4767025,0.78681684,1
KEGG_TYPE_II_DIABETES_MELLITUS,KEGG_TYPE_II_DIABETES_MELLITUS,,24,0.33955875,0.99914384,0.99914384,0.4848485,0.7805762,1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,KEGG_GLYCOSAMINOGLYCAN_DEGRADATION,,16,0.36262503,0.9856188,0.9856188,0.50961536,0.80347925,1
KEGG_LONG_TERM_DEPRESSION,KEGG_LONG_TERM_DEPRESSION,,36,0.31448787,0.98325145,0.98325145,0.50666666,0.79823655,1
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,,34,0.3166052,0.9783266,0.9783266,0.5405405,0.79970753,1
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,,56,0.28738403,0.9761693,0.9761693,0.54091394,0.7938064,1
KEGG_BASE_EXCISION_REPAIR,KEGG_BASE_EXCISION_REPAIR,,32,0.31297722,0.9715052,0.9715052,0.5255973,0.7942238,1
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION,,26,0.31869364,0.9390413,0.9390413,0.57176197,0.86118054,1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,,28,0.30721772,0.93175715,0.93175715,0.5699422,0.86672735,1
KEGG_APOPTOSIS,KEGG_APOPTOSIS,,70,0.2703156,0.93128407,0.93128407,0.6126033,0.85644984,1
KEGG_O_GLYCAN_BIOSYNTHESIS,KEGG_O_GLYCAN_BIOSYNTHESIS,,20,0.31794706,0.8982795,0.8982795,0.61012954,0.91713846,1
KEGG_VEGF_SIGNALING_PATHWAY,KEGG_VEGF_SIGNALING_PATHWAY,,53,0.26766923,0.8910915,0.8910915,0.6698718,0.92009664,1
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,,66,0.25538263,0.87274086,0.87274086,0.70788914,0.9464255,1
KEGG_ABC_TRANSPORTERS,KEGG_ABC_TRANSPORTERS,,22,0.305044,0.8663971,0.8663971,0.66824645,0.9471157,1
KEGG_PPAR_SIGNALING_PATHWAY,KEGG_PPAR_SIGNALING_PATHWAY,,36,0.2675152,0.84041244,0.84041244,0.7315436,0.9860073,1
KEGG_CELL_ADHESION_MOLECULES_CAMS,KEGG_CELL_ADHESION_MOLECULES_CAMS,,51,0.25390306,0.8390643,0.8390643,0.7367281,0.976297,1
KEGG_SPLICEOSOME,KEGG_SPLICEOSOME,,125,0.22476707,0.81633735,0.81633735,0.8379205,1,1
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,,39,0.2524665,0.8023025,0.8023025,0.77297896,1,1
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,,46,0.24072245,0.78474164,0.78474164,0.8092613,1,1
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,,62,0.23047711,0.7780439,0.7780439,0.8448637,1,1
KEGG_PROPANOATE_METABOLISM,KEGG_PROPANOATE_METABOLISM,,27,0.25566882,0.7623909,0.7623909,0.81722933,1,1
KEGG_DNA_REPLICATION,KEGG_DNA_REPLICATION,,34,0.24686359,0.7566943,0.7566943,0.8221971,1,1
KEGG_P53_SIGNALING_PATHWAY,KEGG_P53_SIGNALING_PATHWAY,,61,0.2222286,0.7555622,0.7555622,0.85714287,1,1
KEGG_COLORECTAL_CANCER,KEGG_COLORECTAL_CANCER,,52,0.2159185,0.70903957,0.70903957,0.89967984,1,1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,,51,0.20967095,0.69607735,0.69607735,0.918259,1,1
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,,24,0.23769233,0.69512016,0.69512016,0.8735499,1,1
KEGG_PYRUVATE_METABOLISM,KEGG_PYRUVATE_METABOLISM,,31,0.22221538,0.6846839,0.6846839,0.89786756,1,1
KEGG_VIBRIO_CHOLERAE_INFECTION,KEGG_VIBRIO_CHOLERAE_INFECTION,,40,0.21329093,0.683609,0.683609,0.9045505,1,1
KEGG_PURINE_METABOLISM,KEGG_PURINE_METABOLISM,,111,0.1841893,0.6672591,0.6672591,0.9714577,1,1
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,,43,0.2049252,0.66594344,0.66594344,0.93267107,1,1
KEGG_RNA_DEGRADATION,KEGG_RNA_DEGRADATION,,55,0.19336702,0.64973027,0.64973027,0.9479393,1,1
KEGG_BASAL_TRANSCRIPTION_FACTORS,KEGG_BASAL_TRANSCRIPTION_FACTORS,,30,0.20959954,0.6389549,0.6389549,0.92156863,1,1
KEGG_RNA_POLYMERASE,KEGG_RNA_POLYMERASE,,28,0.20572816,0.61905867,0.61905867,0.9505747,1,1
KEGG_LYSOSOME,KEGG_LYSOSOME,,105,0.16227941,0.5799608,0.5799608,0.9907975,1,1
KEGG_NUCLEOTIDE_EXCISION_REPAIR,KEGG_NUCLEOTIDE_EXCISION_REPAIR,,42,0.17771934,0.57245034,0.57245034,0.97306395,1,1
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,,35,0.17594586,0.5502978,0.5502978,0.9756098,1,1
KEGG_SELENOAMINO_ACID_METABOLISM,KEGG_SELENOAMINO_ACID_METABOLISM,,22,0.18689878,0.5383111,0.5383111,0.9813084,1,1
KEGG_PENTOSE_PHOSPHATE_PATHWAY,KEGG_PENTOSE_PHOSPHATE_PATHWAY,,20,0.19328186,0.5358756,0.5358756,0.98245615,1,1
KEGG_REGULATION_OF_AUTOPHAGY,KEGG_REGULATION_OF_AUTOPHAGY,,17,0.19128238,0.52145463,0.52145463,0.9784689,1,1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,,22,0.1608004,0.46375573,0.46375573,0.9963942,1,1
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,,18,0.16358647,0.44584265,0.44584265,0.9927798,1,1
KEGG_MISMATCH_REPAIR,KEGG_MISMATCH_REPAIR,,22,0.1561746,0.44166744,0.44166744,0.99883175,0.9983039,1
KEGG_RIBOSOME,KEGG_RIBOSOME,Details ...,83,-0.88402224,-4.667415,4.667415,0,0,0
KEGG_PARKINSONS_DISEASE,KEGG_PARKINSONS_DISEASE,Details ...,106,-0.525477,-2.9329946,2.9329946,0,0,0
KEGG_OXIDATIVE_PHOSPHORYLATION,KEGG_OXIDATIVE_PHOSPHORYLATION,Details ...,110,-0.540356,-2.8180096,2.8180096,0,0,0
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,Details ...,25,-0.6747633,-2.715833,2.715833,0,0,0
KEGG_ALZHEIMERS_DISEASE,KEGG_ALZHEIMERS_DISEASE,Details ...,131,-0.44844362,-2.5991178,2.5991178,0,0,0
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,Details ...,47,-0.55860436,-2.5641074,2.5641074,0,0,0
KEGG_HUNTINGTONS_DISEASE,KEGG_HUNTINGTONS_DISEASE,Details ...,146,-0.42130992,-2.4036222,2.4036222,0,4.49E-04,0.001
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,Details ...,21,-0.6031201,-2.3220572,2.3220572,0,3.93E-04,0.001
KEGG_GLUTATHIONE_METABOLISM,KEGG_GLUTATHIONE_METABOLISM,Details ...,34,-0.5156166,-2.2466211,2.2466211,0,3.49E-04,0.001
KEGG_CARDIAC_MUSCLE_CONTRACTION,KEGG_CARDIAC_MUSCLE_CONTRACTION,Details ...,38,-0.50809026,-2.2061286,2.2061286,0,3.14E-04,0.001
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,Details ...,22,-0.5720444,-2.1838887,2.1838887,0,6.19E-04,0.002
KEGG_ARACHIDONIC_ACID_METABOLISM,KEGG_ARACHIDONIC_ACID_METABOLISM,Details ...,26,-0.5081489,-2.0576446,2.0576446,0,0.001934458,0.007
KEGG_STEROID_HORMONE_BIOSYNTHESIS,KEGG_STEROID_HORMONE_BIOSYNTHESIS,Details ...,21,-0.551706,-2.026184,2.026184,0,0.002046008,0.008
KEGG_PROTEASOME,KEGG_PROTEASOME,Details ...,41,-0.43028507,-1.9897696,1.9897696,0,0.002371294,0.01
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG_TYPE_I_DIABETES_MELLITUS,Details ...,15,-0.58117956,-1.9389784,1.9389784,0.01,0.003428153,0.017
KEGG_RETINOL_METABOLISM,KEGG_RETINOL_METABOLISM,Details ...,17,-0.5565002,-1.9024727,1.9024727,0,0.003541963,0.019
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,Details ...,18,-0.49993038,-1.8115392,1.8115392,0.005988024,0.00857327,0.048
KEGG_TRYPTOPHAN_METABOLISM,KEGG_TRYPTOPHAN_METABOLISM,Details ...,22,-0.44330725,-1.725495,1.725495,0.013333334,0.014725687,0.085
KEGG_LEISHMANIA_INFECTION,KEGG_LEISHMANIA_INFECTION,Details ...,40,-0.37741798,-1.7086463,1.7086463,0,0.016103903,0.097
KEGG_PROTEIN_EXPORT,KEGG_PROTEIN_EXPORT,Details ...,24,-0.4259972,-1.6570073,1.6570073,0.007194245,0.022323394,0.136
KEGG_HISTIDINE_METABOLISM,KEGG_HISTIDINE_METABOLISM,,17,-0.41823554,-1.508668,1.508668,0.043902438,0.06060711,0.342
KEGG_PEROXISOME,KEGG_PEROXISOME,,64,-0.29324222,-1.4696383,1.4696383,0,0.07142059,0.397
KEGG_BUTANOATE_METABOLISM,KEGG_BUTANOATE_METABOLISM,,25,-0.35285017,-1.404105,1.404105,0.064,0.099814266,0.529
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,,40,-0.30985004,-1.3412848,1.3412848,0.054347824,0.13800433,0.653
KEGG_ARGININE_AND_PROLINE_METABOLISM,KEGG_ARGININE_AND_PROLINE_METABOLISM,,37,-0.29383293,-1.2767196,1.2767196,0.110091746,0.19405673,0.789
KEGG_CITRATE_CYCLE_TCA_CYCLE,KEGG_CITRATE_CYCLE_TCA_CYCLE,,27,-0.3224446,-1.2565064,1.2565064,0.12142857,0.20600827,0.82
KEGG_FATTY_ACID_METABOLISM,KEGG_FATTY_ACID_METABOLISM,,28,-0.3015812,-1.2436806,1.2436806,0.12698413,0.21180065,0.833
KEGG_HEMATOPOIETIC_CELL_LINEAGE,KEGG_HEMATOPOIETIC_CELL_LINEAGE,,26,-0.29324123,-1.1683728,1.1683728,0.21768707,0.31157848,0.929
KEGG_ETHER_LIPID_METABOLISM,KEGG_ETHER_LIPID_METABOLISM,,19,-0.27315784,-1.0219282,1.0219282,0.40625,0.61820585,0.999
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,,16,-0.29719502,-1.0215517,1.0215517,0.41584158,0.598268,0.999
KEGG_PRION_DISEASES,KEGG_PRION_DISEASES,,21,-0.2628744,-0.9811145,0.9811145,0.4642857,0.6885211,1
KEGG_PYRIMIDINE_METABOLISM,KEGG_PYRIMIDINE_METABOLISM,,86,-0.18096277,-0.9722798,0.9722798,0.65384614,0.6911383,1
KEGG_TYROSINE_METABOLISM,KEGG_TYROSINE_METABOLISM,,22,-0.25048926,-0.9635549,0.9635549,0.5205479,0.6943863,1
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,,32,-0.21417984,-0.9102941,0.9102941,0.6532258,0.81533724,1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,,76,-0.18379524,-0.9081066,0.9081066,0.75,0.79575735,1
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,,23,-0.23713349,-0.89792883,0.89792883,0.6385542,0.79901356,1
KEGG_SPHINGOLIPID_METABOLISM,KEGG_SPHINGOLIPID_METABOLISM,,29,-0.21360172,-0.8653638,0.8653638,0.70535713,0.85010433,1
KEGG_DRUG_METABOLISM_OTHER_ENZYMES,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,,21,-0.22142524,-0.84812695,0.84812695,0.72727275,0.8678934,1
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,,35,-0.17207259,-0.7327699,0.7327699,0.8888889,1,1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,,38,-0.16499695,-0.73104787,0.73104787,0.9325843,1,1
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM,,21,-0.18794794,-0.72527117,0.72527117,0.8918919,0.9816271,1
KEGG_BETA_ALANINE_METABOLISM,KEGG_BETA_ALANINE_METABOLISM,,16,-0.16868438,-0.583619,0.583619,0.9883721,1,1
KEGG_N_GLYCAN_BIOSYNTHESIS,KEGG_N_GLYCAN_BIOSYNTHESIS,,44,-0.12603906,-0.5835681,0.5835681,0.9876543,1,1
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,,37,-0.124729134,-0.5363957,0.5363957,0.98165137,0.99610907,1
